id_partido,temporada,fecha,equipo_local,equipo_visita,goles_local,goles_visita,xg_local,xg_visita,posesion_local,posesion_visita,amarillas_local,amarillas_visita,rojas_local,rojas_visita,tiros_local,tiros_visita,tiros_a_puerta_local,tiros_a_puerta_visita,corners_local,corners_visita,faltas_local,faltas_visita
1,2024,2024-08-15,Ath Bilbao,Getafe,1,1,,,,,4,1,0,0,7,9,4,2,5,6,15,12
2,2024,2024-08-15,Betis,Girona,1,1,,,,,2,0,0,0,19,13,4,2,4,4,11,7
3,2024,2024-08-16,Celta,Alaves,2,1,,,,,3,2,0,0,6,10,4,2,3,3,8,23
4,2024,2024-08-16,Las Palmas,Sevilla,2,2,,,,,0,0,0,0,13,16,5,5,6,3,12,13
5,2024,2024-08-17,Osasuna,Leganes,1,1,,,,,3,2,0,0,16,10,5,4,6,4,14,12
6,2024,2024-08-17,Valencia,Barcelona,1,2,,,,,2,3,0,0,6,18,1,8,3,8,11,13
7,2024,2024-08-18,Sociedad,Vallecano,1,2,,,,,2,4,0,0,11,12,5,5,10,5,14,21
8,2024,2024-08-18,Mallorca,Real Madrid,1,1,,,,,1,0,0,1,12,13,5,4,8,7,11,6
9,2024,2024-08-19,Valladolid,Espanol,1,0,,,,,2,2,0,0,12,10,3,2,3,2,15,8
10,2024,2024-08-19,Villarreal,Ath Madrid,2,2,,,,,1,3,0,0,8,10,3,5,2,3,6,10
11,2024,2024-08-23,Celta,Valencia,3,1,,,,,3,0,0,0,7,13,5,5,4,7,9,11
12,2024,2024-08-23,Sevilla,Villarreal,1,2,,,,,3,5,0,0,15,6,9,5,7,2,15,7
13,2024,2024-08-24,Osasuna,Mallorca,1,0,,,,,2,1,0,0,15,11,5,2,5,4,10,8
14,2024,2024-08-24,Barcelona,Ath Bilbao,2,1,,,,,4,5,0,0,13,9,5,2,5,6,11,16
15,2024,2024-08-24,Espanol,Sociedad,0,1,,,,,2,2,0,0,13,8,3,4,7,4,14,18
16,2024,2024-08-24,Getafe,Vallecano,0,0,,,,,1,2,0,0,12,3,0,1,3,2,16,18
17,2024,2024-08-25,Real Madrid,Valladolid,3,0,,,,,1,1,0,0,17,8,9,2,5,5,10,15
18,2024,2024-08-25,Leganes,Las Palmas,2,1,,,,,1,1,0,0,10,10,5,5,3,7,11,10
19,2024,2024-08-25,Alaves,Betis,0,0,,,,,1,4,1,0,3,13,1,3,3,8,16,13
20,2024,2024-08-25,Ath Madrid,Girona,3,0,,,,,1,3,0,0,11,13,6,5,1,9,11,10
21,2024,2024-08-26,Villarreal,Celta,4,3,,,,,4,3,0,0,22,18,9,8,7,4,8,6
22,2024,2024-08-27,Mallorca,Sevilla,0,0,,,,,0,1,0,1,12,16,4,7,5,9,15,10
23,2024,2024-08-27,Vallecano,Barcelona,1,2,,,,,3,1,0,0,8,22,4,5,6,6,17,11
24,2024,2024-08-28,Ath Bilbao,Valencia,1,0,,,,,1,3,0,0,13,2,4,0,5,3,14,9
25,2024,2024-08-28,Valladolid,Leganes,0,0,,,,,1,5,0,0,12,8,2,1,4,4,13,19
26,2024,2024-08-28,Ath Madrid,Espanol,0,0,,,,,0,2,0,0,24,8,7,1,9,3,6,9
27,2024,2024-08-28,Sociedad,Alaves,1,2,,,,,4,4,1,0,8,12,1,5,8,6,16,12
28,2024,2024-08-29,Girona,Osasuna,4,0,,,,,0,0,0,0,10,1,5,0,5,0,10,9
29,2024,2024-08-29,Las Palmas,Real Madrid,1,1,,,,,0,2,0,0,7,25,3,8,2,6,16,13
30,2024,2024-08-31,Barcelona,Valladolid,7,0,,,,,0,3,0,0,23,5,10,2,10,1,6,12
31,2024,2024-08-31,Ath Bilbao,Ath Madrid,0,1,,,,,3,1,0,0,8,9,1,2,2,2,13,9
32,2024,2024-08-31,Espanol,Vallecano,2,1,,,,,3,2,0,0,10,17,5,5,3,7,14,16
33,2024,2024-08-31,Leganes,Mallorca,0,1,,,,,1,3,0,0,4,12,2,3,1,3,11,17
34,2024,2024-08-31,Valencia,Villarreal,1,1,,,,,3,5,0,1,22,9,6,3,14,3,15,11
35,2024,2024-09-01,Alaves,Las Palmas,2,0,,,,,3,0,0,0,15,12,5,7,6,5,13,9
36,2024,2024-09-01,Osasuna,Celta,3,2,,,,,2,0,0,1,10,12,4,3,6,3,19,10
37,2024,2024-09-01,Sevilla,Girona,0,2,,,,,3,2,0,0,16,11,5,4,7,5,6,14
